"Assignment 1","Points","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"#","Date","Change","","grade","Source Points","Early/Late","Weighted Grade","ScanStringTestSuite:ScanString functions correctly","ScanningIteratorSuite:Scanning Iterator","MultipleTokenSuite:Can process multiple tokens","InvalidCharacterSuite:Handles Invalid Characters","TerminatesWithStartingPeriodSuite:Terminating period forms complete line","IndexOfNotTestSuite:IndexOfNot functions correctly","IndexOfTestSuite:IndexOf functions correctly","TerminatesWithPeriodLineSuite:Handles Space After Period","SingleTokenSuite:Can process a single token","VariableSpaceSuite:Handles Variable Spaces","Required Methods Called in Main or Iterator","IndexOf  Called in Iterator","indexOfNot Called in Main","IndexOfNot Called in Iterator","Iterator Methods Called in Main","Screenshots enclosed","Screenshots show tests","Illegal import or call","ScanStringTestSuite:ScanString functions correctly","ScanningIteratorSuite:Scanning Iterator","MultipleTokenSuite:Can process multiple tokens","InvalidCharacterSuite:Handles Invalid Characters","TerminatesWithStartingPeriodSuite:Terminating period forms complete line","IndexOfNotTestSuite:IndexOfNot functions correctly","IndexOfTestSuite:IndexOf functions correctly","TerminatesWithPeriodLineSuite:Handles Space After Period","SingleTokenSuite:Can process a single token","VariableSpaceSuite:Handles Variable Spaces","Required Methods Called in Main or Iterator","IndexOf  Called in Iterator","indexOfNot Called in Main","IndexOfNot Called in Iterator","Iterator Methods Called in Main","Screenshots enclosed","Screenshots show tests","Illegal import or call","","",""
"0","Sun Sep 02 20:47:04 EDT 2018","111.0","","111.0","","1.0","111.0","15.0","0.0","30.0","0.0","5.0","5.0","18.0","5.0","10.0","5.0","15.0","0.0","3.0","0.0","0.0","0.0","","0.0","ScanStringTestSuite:ScanString functions correctly     %.1f / 15.0","ScanningIteratorSuite:Scanning Iterator                %.1f / 30.0 (Extra credit)","MultipleTokenSuite:Can process multiple tokens         %.1f / 30.0","InvalidCharacterSuite:Handles Invalid Characters       %.1f / 10.0 (Extra credit)","TerminatesWithStartingPeriodSuite:Terminating period forms complete line %.1f /  5.0","IndexOfNotTestSuite:IndexOfNot functions correctly     %.1f /  5.0 (Extra credit)","IndexOfTestSuite:IndexOf functions correctly           %.1f / 18.0","TerminatesWithPeriodLineSuite:Handles Space After Period %.1f /  5.0","SingleTokenSuite:Can process a single token            %.1f / 10.0","VariableSpaceSuite:Handles Variable Spaces             %.1f /  5.0 (Extra credit)","Required Methods Called in Main or Iterator            %.1f / 15.0","IndexOf  Called in Iterator                            %.1f /  5.0 (Extra credit)","indexOfNot Called in Main                              %.1f /  3.0 (Extra credit)","IndexOfNot Called in Iterator                          %.1f /  3.0 (Extra credit)","Iterator Methods Called in Main                        %.1f / 10.0 (Extra credit)","Screenshots enclosed                                   %.1f /  5.0","Screenshots show tests                                 %.1f / 10.0","Illegal import or call                      %.1f /  -25.0","","",""
"1","Wed Sep 05 14:44:26 EDT 2018","0.0","","111.0","","1.0","111.0","15.0","0.0","30.0","0.0","5.0","5.0","18.0","5.0","10.0","5.0","15.0","0.0","3.0","0.0","0.0","0.0","","0.0","ScanStringTestSuite:ScanString functions correctly     %.1f / 15.0","ScanningIteratorSuite:Scanning Iterator                %.1f / 30.0 (Extra credit)","MultipleTokenSuite:Can process multiple tokens         %.1f / 30.0","InvalidCharacterSuite:Handles Invalid Characters       %.1f / 10.0 (Extra credit)","TerminatesWithStartingPeriodSuite:Terminating period forms complete line %.1f /  5.0","IndexOfNotTestSuite:IndexOfNot functions correctly     %.1f /  5.0 (Extra credit)","IndexOfTestSuite:IndexOf functions correctly           %.1f / 18.0","TerminatesWithPeriodLineSuite:Handles Space After Period %.1f /  5.0","SingleTokenSuite:Can process a single token            %.1f / 10.0","VariableSpaceSuite:Handles Variable Spaces             %.1f /  5.0 (Extra credit)","Required Methods Called in Main or Iterator            %.1f / 15.0","IndexOf  Called in Iterator                            %.1f /  5.0 (Extra credit)","indexOfNot Called in Main                              %.1f /  3.0 (Extra credit)","IndexOfNot Called in Iterator                          %.1f /  3.0 (Extra credit)","Iterator Methods Called in Main                        %.1f / 10.0 (Extra credit)","Screenshots enclosed                                   %.1f /  5.0","Screenshots show tests                                 %.1f / 10.0","Illegal import or call                      %.1f /  -25.0","","",""
"2","Thu Sep 06 16:48:04 EDT 2018","-111.0","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","Thu Sep 06 17:00:01 EDT 2018","111.0","","111.0","","1.0","111.0","15.0","0.0","30.0","0.0","5.0","5.0","18.0","5.0","10.0","5.0","15.0","0.0","3.0","0.0","0.0","0.0","","0.0","ScanStringTestSuite:ScanString functions correctly     %.1f / 15.0","ScanningIteratorSuite:Scanning Iterator                %.1f / 30.0 (Extra credit)","MultipleTokenSuite:Can process multiple tokens         %.1f / 30.0","InvalidCharacterSuite:Handles Invalid Characters       %.1f / 10.0 (Extra credit)","TerminatesWithStartingPeriodSuite:Terminating period forms complete line %.1f /  5.0","IndexOfNotTestSuite:IndexOfNot functions correctly     %.1f /  5.0 (Extra credit)","IndexOfTestSuite:IndexOf functions correctly           %.1f / 18.0","TerminatesWithPeriodLineSuite:Handles Space After Period %.1f /  5.0","SingleTokenSuite:Can process a single token            %.1f / 10.0","VariableSpaceSuite:Handles Variable Spaces             %.1f /  5.0 (Extra credit)","Required Methods Called in Main or Iterator            %.1f / 15.0","IndexOf  Called in Iterator                            %.1f /  5.0 (Extra credit)","indexOfNot Called in Main                              %.1f /  3.0 (Extra credit)","IndexOfNot Called in Iterator                          %.1f /  3.0 (Extra credit)","Iterator Methods Called in Main                        %.1f / 10.0 (Extra credit)","Screenshots enclosed                                   %.1f /  5.0","Screenshots show tests                                 %.1f / 10.0","Illegal import or call                      %.1f /  -25.0","","",""
"4","Thu Sep 06 17:01:51 EDT 2018","-111.0","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","Thu Sep 06 17:11:34 EDT 2018","0.0","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","Thu Sep 06 17:18:57 EDT 2018","0.0","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","Thu Sep 06 17:21:27 EDT 2018","0.0","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","Wed Oct 10 12:39:45 EDT 2018","111.0","","111.0","","1.0","111.0","15.0","0.0","30.0","0.0","5.0","5.0","18.0","5.0","10.0","5.0","15.0","0.0","3.0","0.0","0.0","0.0","","0.0","ScanStringTestSuite:ScanString functions correctly     %.1f / 15.0","ScanningIteratorSuite:Scanning Iterator                %.1f / 30.0 (Extra credit)","MultipleTokenSuite:Can process multiple tokens         %.1f / 30.0","InvalidCharacterSuite:Handles Invalid Characters       %.1f / 10.0 (Extra credit)","TerminatesWithStartingPeriodSuite:Terminating period forms complete line %.1f /  5.0","IndexOfNotTestSuite:IndexOfNot functions correctly     %.1f /  5.0 (Extra credit)","IndexOfTestSuite:IndexOf functions correctly           %.1f / 18.0","TerminatesWithPeriodLineSuite:Handles Space After Period %.1f /  5.0","SingleTokenSuite:Can process a single token            %.1f / 10.0","VariableSpaceSuite:Handles Variable Spaces             %.1f /  5.0 (Extra credit)","Required Methods Called in Main or Iterator            %.1f / 15.0","IndexOf  Called in Iterator                            %.1f /  5.0 (Extra credit)","indexOfNot Called in Main                              %.1f /  3.0 (Extra credit)","IndexOfNot Called in Iterator                          %.1f /  3.0 (Extra credit)","Iterator Methods Called in Main                        %.1f / 10.0 (Extra credit)","Screenshots enclosed                                   %.1f /  5.0","Screenshots show tests                                 %.1f / 10.0","Illegal import or call                      %.1f /  -25.0","","",""
"9","Wed Oct 10 12:40:43 EDT 2018","0.0","","111.0","","1.0","111.0","15.0","0.0","30.0","0.0","5.0","5.0","18.0","5.0","10.0","5.0","15.0","0.0","3.0","0.0","0.0","0.0","","0.0","ScanStringTestSuite:ScanString functions correctly     %.1f / 15.0","ScanningIteratorSuite:Scanning Iterator                %.1f / 30.0 (Extra credit)","MultipleTokenSuite:Can process multiple tokens         %.1f / 30.0","InvalidCharacterSuite:Handles Invalid Characters       %.1f / 10.0 (Extra credit)","TerminatesWithStartingPeriodSuite:Terminating period forms complete line %.1f /  5.0","IndexOfNotTestSuite:IndexOfNot functions correctly     %.1f /  5.0 (Extra credit)","IndexOfTestSuite:IndexOf functions correctly           %.1f / 18.0","TerminatesWithPeriodLineSuite:Handles Space After Period %.1f /  5.0","SingleTokenSuite:Can process a single token            %.1f / 10.0","VariableSpaceSuite:Handles Variable Spaces             %.1f /  5.0 (Extra credit)","Required Methods Called in Main or Iterator            %.1f / 15.0","IndexOf  Called in Iterator                            %.1f /  5.0 (Extra credit)","indexOfNot Called in Main                              %.1f /  3.0 (Extra credit)","IndexOfNot Called in Iterator                          %.1f /  3.0 (Extra credit)","Iterator Methods Called in Main                        %.1f / 10.0 (Extra credit)","Screenshots enclosed                                   %.1f /  5.0","Screenshots show tests                                 %.1f / 10.0","Illegal import or call                      %.1f /  -25.0","","",""
