"Assignment 1","Points","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"#","Date","Change","","grade","Source Points","Early/Late","Weighted Grade","BridgeSceneControllerSuite","FactoryMethodSuiteA9","ObservablePainterSuite","ExtraCreditFactoryMethodSuiteA9","Public methods are in implemented interfaces","Normal credit view (0.0 if extra credit instead)","Extra credit view","BridgeSceneController","Clicking and pressing buttons in display works correctly","CommandInterpreter controller","CommandInterpreter controller issues commands correctly","CommandInterpreter view","CommandInterpreter view shows error property correctly","Menu item and button","Menu item and button result in some action in display","Progress bar or slider (max 2.0)","Progress bar or slider works","Animation shows function of command interpreter and correct output in all frames","Variables should have interface, not class, type","No magic numbers","Interactive Run","Illegal import or call","BridgeSceneControllerSuite","FactoryMethodSuiteA9","ObservablePainterSuite","ExtraCreditFactoryMethodSuiteA9","Public methods are in implemented interfaces","Normal credit view (0.0 if extra credit instead)","Extra credit view","BridgeSceneController","Clicking and pressing buttons in display works correctly","CommandInterpreter controller","CommandInterpreter controller issues commands correctly","CommandInterpreter view","CommandInterpreter view shows error property correctly","Menu item and button","Menu item and button result in some action in display","Progress bar or slider (max 2.0)","Progress bar or slider works","Animation shows function of command interpreter and correct output in all frames","Variables should have interface, not class, type","No magic numbers","Interactive Run","Illegal import or call"
"0","Wed Nov 01 17:23:12 EDT 2017","145.0","","145.0","","1.05","152.3","40.0","5.0","27.0","20.0","10.0","0.0","25.0","12.0","","3.0","","3.0","","3.0","","2.0","","","0.0","0.0","-5.0","0.0","BridgeSceneControllerSuite                             %.1f / 40.0","FactoryMethodSuiteA9                                   %.1f / 10.0","ObservablePainterSuite                                 %.1f / 30.0 (Extra credit)","ExtraCreditFactoryMethodSuiteA9                        %.1f / 20.0 (Extra credit)","Public methods are in implemented interfaces           %.1f / 10.0","Normal credit view (0.0 if extra credit instead)       %.1f / 15.0","Extra credit view                                      %.1f / 25.0 (Extra credit)","BridgeSceneController                                  %.1f / 12.0","Clicking and pressing buttons in display works correctly %.1f /  8.0","CommandInterpreter controller                          %.1f /  3.0 (Extra credit)","CommandInterpreter controller issues commands correctly%.1f /  7.0 (Extra credit)","CommandInterpreter view                                %.1f /  3.0 (Extra credit)","CommandInterpreter view shows error property correctly %.1f /  5.0 (Extra credit)","Menu item and button                                   %.1f /  3.0 (Extra credit)","Menu item and button result in some action in display  %.1f /  7.0 (Extra credit)","Progress bar or slider (max 2.0)                       %.1f /  4.0 (Extra credit)","Progress bar or slider works                           %.1f /  4.0 (Extra credit)","Animation shows function of command interpreter and correct output in all frames %.1f / 15.0","Variables should have interface, not class, type%.1f /  -10.0","No magic numbers                            %.1f /  -10.0","Interactive Run                             %.1f /  -5.0","Illegal import or call                      %.1f /  -25.0"
"1","Wed Nov 01 17:25:00 EDT 2017","7.300000000000011","","152.3","","","152.3","-10.0","-10.0","-5.0","-25.0","","","","","","","","","","","","","","","","","","","Variables should have interface, not class, type%.1f /  -10.0","No magic numbers                            %.1f /  -10.0","Interactive Run                             %.1f /  -5.0","Illegal import or call                      %.1f /  -25.0","","","","","","","","","","","","","","","","","",""
"2","Wed Nov 01 17:25:33 EDT 2017","0.0","","152.3","","","152.3","-10.0","-10.0","-5.0","-25.0","","","","","","","","","","","","","","","","","","","Variables should have interface, not class, type%.1f /  -10.0","No magic numbers                            %.1f /  -10.0","Interactive Run                             %.1f /  -5.0","Illegal import or call                      %.1f /  -25.0","","","","","","","","","","","","","","","","","",""
"3","Wed Nov 01 17:28:08 EDT 2017","-7.300000000000011","","145.0","","1.05","152.3","40.0","5.0","27.0","20.0","10.0","0.0","25.0","12.0","","3.0","","3.0","","3.0","","2.0","","","0.0","0.0","-5.0","0.0","BridgeSceneControllerSuite                             %.1f / 40.0","FactoryMethodSuiteA9                                   %.1f / 10.0","ObservablePainterSuite                                 %.1f / 30.0 (Extra credit)","ExtraCreditFactoryMethodSuiteA9                        %.1f / 20.0 (Extra credit)","Public methods are in implemented interfaces           %.1f / 10.0","Normal credit view (0.0 if extra credit instead)       %.1f / 15.0","Extra credit view                                      %.1f / 25.0 (Extra credit)","BridgeSceneController                                  %.1f / 12.0","Clicking and pressing buttons in display works correctly %.1f /  8.0","CommandInterpreter controller                          %.1f /  3.0 (Extra credit)","CommandInterpreter controller issues commands correctly%.1f /  7.0 (Extra credit)","CommandInterpreter view                                %.1f /  3.0 (Extra credit)","CommandInterpreter view shows error property correctly %.1f /  5.0 (Extra credit)","Menu item and button                                   %.1f /  3.0 (Extra credit)","Menu item and button result in some action in display  %.1f /  7.0 (Extra credit)","Progress bar or slider (max 2.0)                       %.1f /  4.0 (Extra credit)","Progress bar or slider works                           %.1f /  4.0 (Extra credit)","Animation shows function of command interpreter and correct output in all frames %.1f / 15.0","Variables should have interface, not class, type%.1f /  -10.0","No magic numbers                            %.1f /  -10.0","Interactive Run                             %.1f /  -5.0","Illegal import or call                      %.1f /  -25.0"
"4","Tue Nov 07 16:10:41 EST 2017","0.0","","145.0","","1.05","152.3","40.0","5.0","27.0","20.0","10.0","0.0","25.0","12.0","","3.0","","3.0","","3.0","","2.0","","","0.0","0.0","-5.0","0.0","BridgeSceneControllerSuite                             %.1f / 40.0","FactoryMethodSuiteA9                                   %.1f / 10.0","ObservablePainterSuite                                 %.1f / 30.0 (Extra credit)","ExtraCreditFactoryMethodSuiteA9                        %.1f / 20.0 (Extra credit)","Public methods are in implemented interfaces           %.1f / 10.0","Normal credit view (0.0 if extra credit instead)       %.1f / 15.0","Extra credit view                                      %.1f / 25.0 (Extra credit)","BridgeSceneController                                  %.1f / 12.0","Clicking and pressing buttons in display works correctly %.1f /  8.0","CommandInterpreter controller                          %.1f /  3.0 (Extra credit)","CommandInterpreter controller issues commands correctly%.1f /  7.0 (Extra credit)","CommandInterpreter view                                %.1f /  3.0 (Extra credit)","CommandInterpreter view shows error property correctly %.1f /  5.0 (Extra credit)","Menu item and button                                   %.1f /  3.0 (Extra credit)","Menu item and button result in some action in display  %.1f /  7.0 (Extra credit)","Progress bar or slider (max 2.0)                       %.1f /  4.0 (Extra credit)","Progress bar or slider works                           %.1f /  4.0 (Extra credit)","Animation shows function of command interpreter and correct output in all frames %.1f / 15.0","Variables should have interface, not class, type%.1f /  -10.0","No magic numbers                            %.1f /  -10.0","Interactive Run                             %.1f /  -5.0","Illegal import or call                      %.1f /  -25.0"
"5","Tue Nov 07 16:13:18 EST 2017","0.0","","145.0","","1.05","152.3","40.0","5.0","27.0","20.0","10.0","0.0","25.0","12.0","","3.0","","3.0","","3.0","","2.0","","","0.0","0.0","-5.0","0.0","BridgeSceneControllerSuite                             %.1f / 40.0","FactoryMethodSuiteA9                                   %.1f / 10.0","ObservablePainterSuite                                 %.1f / 30.0 (Extra credit)","ExtraCreditFactoryMethodSuiteA9                        %.1f / 20.0 (Extra credit)","Public methods are in implemented interfaces           %.1f / 10.0","Normal credit view (0.0 if extra credit instead)       %.1f / 15.0","Extra credit view                                      %.1f / 25.0 (Extra credit)","BridgeSceneController                                  %.1f / 12.0","Clicking and pressing buttons in display works correctly %.1f /  8.0","CommandInterpreter controller                          %.1f /  3.0 (Extra credit)","CommandInterpreter controller issues commands correctly%.1f /  7.0 (Extra credit)","CommandInterpreter view                                %.1f /  3.0 (Extra credit)","CommandInterpreter view shows error property correctly %.1f /  5.0 (Extra credit)","Menu item and button                                   %.1f /  3.0 (Extra credit)","Menu item and button result in some action in display  %.1f /  7.0 (Extra credit)","Progress bar or slider (max 2.0)                       %.1f /  4.0 (Extra credit)","Progress bar or slider works                           %.1f /  4.0 (Extra credit)","Animation shows function of command interpreter and correct output in all frames %.1f / 15.0","Variables should have interface, not class, type%.1f /  -10.0","No magic numbers                            %.1f /  -10.0","Interactive Run                             %.1f /  -5.0","Illegal import or call                      %.1f /  -25.0"
"6","Tue Nov 07 16:14:48 EST 2017","0.0","","145.0","","1.05","152.3","40.0","5.0","27.0","20.0","10.0","0.0","25.0","12.0","","3.0","","3.0","","3.0","","2.0","","","0.0","0.0","-5.0","0.0","BridgeSceneControllerSuite                             %.1f / 40.0","FactoryMethodSuiteA9                                   %.1f / 10.0","ObservablePainterSuite                                 %.1f / 30.0 (Extra credit)","ExtraCreditFactoryMethodSuiteA9                        %.1f / 20.0 (Extra credit)","Public methods are in implemented interfaces           %.1f / 10.0","Normal credit view (0.0 if extra credit instead)       %.1f / 15.0","Extra credit view                                      %.1f / 25.0 (Extra credit)","BridgeSceneController                                  %.1f / 12.0","Clicking and pressing buttons in display works correctly %.1f /  8.0","CommandInterpreter controller                          %.1f /  3.0 (Extra credit)","CommandInterpreter controller issues commands correctly%.1f /  7.0 (Extra credit)","CommandInterpreter view                                %.1f /  3.0 (Extra credit)","CommandInterpreter view shows error property correctly %.1f /  5.0 (Extra credit)","Menu item and button                                   %.1f /  3.0 (Extra credit)","Menu item and button result in some action in display  %.1f /  7.0 (Extra credit)","Progress bar or slider (max 2.0)                       %.1f /  4.0 (Extra credit)","Progress bar or slider works                           %.1f /  4.0 (Extra credit)","Animation shows function of command interpreter and correct output in all frames %.1f / 15.0","Variables should have interface, not class, type%.1f /  -10.0","No magic numbers                            %.1f /  -10.0","Interactive Run                             %.1f /  -5.0","Illegal import or call                      %.1f /  -25.0"
"7","Tue Nov 07 16:15:48 EST 2017","0.0","","145.0","","1.05","152.3","40.0","5.0","27.0","20.0","10.0","0.0","25.0","12.0","","3.0","","3.0","","3.0","","2.0","","","0.0","0.0","-5.0","0.0","BridgeSceneControllerSuite                             %.1f / 40.0","FactoryMethodSuiteA9                                   %.1f / 10.0","ObservablePainterSuite                                 %.1f / 30.0 (Extra credit)","ExtraCreditFactoryMethodSuiteA9                        %.1f / 20.0 (Extra credit)","Public methods are in implemented interfaces           %.1f / 10.0","Normal credit view (0.0 if extra credit instead)       %.1f / 15.0","Extra credit view                                      %.1f / 25.0 (Extra credit)","BridgeSceneController                                  %.1f / 12.0","Clicking and pressing buttons in display works correctly %.1f /  8.0","CommandInterpreter controller                          %.1f /  3.0 (Extra credit)","CommandInterpreter controller issues commands correctly%.1f /  7.0 (Extra credit)","CommandInterpreter view                                %.1f /  3.0 (Extra credit)","CommandInterpreter view shows error property correctly %.1f /  5.0 (Extra credit)","Menu item and button                                   %.1f /  3.0 (Extra credit)","Menu item and button result in some action in display  %.1f /  7.0 (Extra credit)","Progress bar or slider (max 2.0)                       %.1f /  4.0 (Extra credit)","Progress bar or slider works                           %.1f /  4.0 (Extra credit)","Animation shows function of command interpreter and correct output in all frames %.1f / 15.0","Variables should have interface, not class, type%.1f /  -10.0","No magic numbers                            %.1f /  -10.0","Interactive Run                             %.1f /  -5.0","Illegal import or call                      %.1f /  -25.0"
"8","Tue Nov 07 16:16:25 EST 2017","3.0","","148.0","","1.05","155.4","40.0","5.0","30.0","20.0","10.0","0.0","25.0","12.0","","3.0","","3.0","","3.0","","2.0","","","0.0","0.0","-5.0","0.0","BridgeSceneControllerSuite                             %.1f / 40.0","FactoryMethodSuiteA9                                   %.1f / 10.0","ObservablePainterSuite                                 %.1f / 30.0 (Extra credit)","ExtraCreditFactoryMethodSuiteA9                        %.1f / 20.0 (Extra credit)","Public methods are in implemented interfaces           %.1f / 10.0","Normal credit view (0.0 if extra credit instead)       %.1f / 15.0","Extra credit view                                      %.1f / 25.0 (Extra credit)","BridgeSceneController                                  %.1f / 12.0","Clicking and pressing buttons in display works correctly %.1f /  8.0","CommandInterpreter controller                          %.1f /  3.0 (Extra credit)","CommandInterpreter controller issues commands correctly%.1f /  7.0 (Extra credit)","CommandInterpreter view                                %.1f /  3.0 (Extra credit)","CommandInterpreter view shows error property correctly %.1f /  5.0 (Extra credit)","Menu item and button                                   %.1f /  3.0 (Extra credit)","Menu item and button result in some action in display  %.1f /  7.0 (Extra credit)","Progress bar or slider (max 2.0)                       %.1f /  4.0 (Extra credit)","Progress bar or slider works                           %.1f /  4.0 (Extra credit)","Animation shows function of command interpreter and correct output in all frames %.1f / 15.0","Variables should have interface, not class, type%.1f /  -10.0","No magic numbers                            %.1f /  -10.0","Interactive Run                             %.1f /  -5.0","Illegal import or call                      %.1f /  -25.0"
"9","Tue Nov 07 16:17:28 EST 2017","-3.0","","145.0","","1.05","152.3","40.0","5.0","27.0","20.0","10.0","0.0","25.0","12.0","","3.0","","3.0","","3.0","","2.0","","","0.0","0.0","-5.0","0.0","BridgeSceneControllerSuite                             %.1f / 40.0","FactoryMethodSuiteA9                                   %.1f / 10.0","ObservablePainterSuite                                 %.1f / 30.0 (Extra credit)","ExtraCreditFactoryMethodSuiteA9                        %.1f / 20.0 (Extra credit)","Public methods are in implemented interfaces           %.1f / 10.0","Normal credit view (0.0 if extra credit instead)       %.1f / 15.0","Extra credit view                                      %.1f / 25.0 (Extra credit)","BridgeSceneController                                  %.1f / 12.0","Clicking and pressing buttons in display works correctly %.1f /  8.0","CommandInterpreter controller                          %.1f /  3.0 (Extra credit)","CommandInterpreter controller issues commands correctly%.1f /  7.0 (Extra credit)","CommandInterpreter view                                %.1f /  3.0 (Extra credit)","CommandInterpreter view shows error property correctly %.1f /  5.0 (Extra credit)","Menu item and button                                   %.1f /  3.0 (Extra credit)","Menu item and button result in some action in display  %.1f /  7.0 (Extra credit)","Progress bar or slider (max 2.0)                       %.1f /  4.0 (Extra credit)","Progress bar or slider works                           %.1f /  4.0 (Extra credit)","Animation shows function of command interpreter and correct output in all frames %.1f / 15.0","Variables should have interface, not class, type%.1f /  -10.0","No magic numbers                            %.1f /  -10.0","Interactive Run                             %.1f /  -5.0","Illegal import or call                      %.1f /  -25.0"
